"pincode","city","canton","canton_code","country","country_code","longitude","latitude","bfsnr"
5108,"Oberflachs","Aargau","AG","Schweiz","CH",8.120325,47.435413,4125
5112,"Thalheim AG","Aargau","AG","Schweiz","CH",8.090244,47.437401,4117
5113,"Holderbank AG","Aargau","AG","Schweiz","CH",8.14388,47.430826,4199
5116,"Schinznach Bad","Aargau","AG","Schweiz","CH",8.164999936,47.425809,4095
5200,"Brugg AG","Aargau","AG","Schweiz","CH",8.206764,47.484179,4095
5210,"Windisch","Aargau","AG","Schweiz","CH",8.22212593846182,47.4759039645703,4123
5212,"Hausen AG","Aargau","AG","Schweiz","CH",8.16511,47.459932,4100
5213,"Villnachern","Aargau","AG","Schweiz","CH",8.16260174861456,47.4725317840841,4122
5222,"Umiken","Aargau","AG","Schweiz","CH",8.187223,47.477264,4095
5223,"Riniken","Aargau","AG","Schweiz","CH",8.18678605047652,47.4939915395476,4111
5224,"Gallenkirch","Aargau","AG","Schweiz","CH",8.122303,47.465134,
5224,"Linn","Aargau","AG","Schweiz","CH",8.122303,47.465134,
5224,"Unterbözberg","Aargau","AG","Schweiz","CH",8.122303,47.465134,
5225,"Oberbözberg","Aargau","AG","Schweiz","CH",8.153792,47.499354,4124
5233,"Stilli","Aargau","AG","Schweiz","CH",8.194453993,47.516216,4121
5234,"Villigen","Aargau","AG","Schweiz","CH",8.20727971919722,47.529564800076,4121
5235,"Rüfenach AG","Aargau","AG","Schweiz","CH",8.210087,47.503502,4112
5236,"Remigen","Aargau","AG","Schweiz","CH",8.176164,47.514841,4110
5237,"Mönthal","Aargau","AG","Schweiz","CH",8.134084,47.515083,4106
5242,"Birr","Aargau","AG","Schweiz","CH",8.211387,47.433034,4092
5242,"Lupfig","Aargau","AG","Schweiz","CH",8.211387,47.433034,4092
5243,"Mülligen","Aargau","AG","Schweiz","CH",8.237811,47.45017,4107
5244,"Birrhard","Aargau","AG","Schweiz","CH",8.241428,47.433918,4093
5245,"Habsburg","Aargau","AG","Schweiz","CH",8.185533,47.461516,4099
