"pincode","city","canton","canton_code","country","country_code"
8306,"Brüttisellen","Zürich","ZH","Schweiz","CH"
8307,"Ottikon b. Kemptthal","Zürich","ZH","Schweiz","CH"
8307,"Effretikon","Zürich","ZH","Schweiz","CH"
8308,"Agasul","Zürich","ZH","Schweiz","CH"
8308,"Illnau","Zürich","ZH","Schweiz","CH"
8309,"Nürensdorf","Zürich","ZH","Schweiz","CH"
8310,"Kemptthal","Zürich","ZH","Schweiz","CH"
8310,"Grafstal","Zürich","ZH","Schweiz","CH"
8311,"Brütten","Zürich","ZH","Schweiz","CH"
8312,"Winterberg ZH","Zürich","ZH","Schweiz","CH"
8314,"Kyburg","Zürich","ZH","Schweiz","CH"
8315,"Lindau","Zürich","ZH","Schweiz","CH"
8317,"Tagelswangen","Zürich","ZH","Schweiz","CH"
8320,"Fehraltorf","Zürich","ZH","Schweiz","CH"
8322,"Madetswil","Zürich","ZH","Schweiz","CH"
8330,"Hermatswil","Zürich","ZH","Schweiz","CH"
8330,"Pfäffikon ZH","Zürich","ZH","Schweiz","CH"
8331,"Auslikon","Zürich","ZH","Schweiz","CH"
8332,"Russikon","Zürich","ZH","Schweiz","CH"
8335,"Hittnau","Zürich","ZH","Schweiz","CH"
8340,"Hinwil","Zürich","ZH","Schweiz","CH"
8342,"Wernetshausen","Zürich","ZH","Schweiz","CH"
8344,"Bäretswil","Zürich","ZH","Schweiz","CH"
8345,"Adetswil","Zürich","ZH","Schweiz","CH"
8352,"Ricketwil (Winterthur)","Zürich","ZH","Schweiz","CH"
8352,"Elsau","Zürich","ZH","Schweiz","CH"
8353,"Elgg","Zürich","ZH","Schweiz","CH"
8354,"Hofstetten ZH","Zürich","ZH","Schweiz","CH"
8355,"Aadorf","Thurgau","TG","Schweiz","CH"
8356,"Ettenhausen TG","Thurgau","TG","Schweiz","CH"
8357,"Guntershausen b. Aadorf","Thurgau","TG","Schweiz","CH"
8360,"Wallenwil","Thurgau","TG","Schweiz","CH"
8360,"Eschlikon TG","Thurgau","TG","Schweiz","CH"
8362,"Balterswil","Thurgau","TG","Schweiz","CH"
8363,"Bichelsee","Thurgau","TG","Schweiz","CH"
8370,"Busswil TG","Thurgau","TG","Schweiz","CH"
8370,"Sirnach","Thurgau","TG","Schweiz","CH"
8372,"Wiezikon b. Sirnach","Thurgau","TG","Schweiz","CH"
8374,"Oberwangen TG","Thurgau","TG","Schweiz","CH"
8374,"Dussnang","Thurgau","TG","Schweiz","CH"
8376,"Fischingen","Thurgau","TG","Schweiz","CH"
8376,"Au TG","Thurgau","TG","Schweiz","CH"
8400,"Winterthur","Zürich","ZH","Schweiz","CH"
8404,"Reutlingen (Winterthur)","Zürich","ZH","Schweiz","CH"
8404,"Stadel (Winterthur)","Zürich","ZH","Schweiz","CH"
8404,"Winterthur","Zürich","ZH","Schweiz","CH"
8405,"Winterthur","Zürich","ZH","Schweiz","CH"
8406,"Winterthur","Zürich","ZH","Schweiz","CH"
8408,"Winterthur","Zürich","ZH","Schweiz","CH"
8409,"Winterthur","Zürich","ZH","Schweiz","CH"
8412,"Aesch (Neftenbach)","Zürich","ZH","Schweiz","CH"
8412,"Riet (Neftenbach)","Zürich","ZH","Schweiz","CH"
8412,"Hünikon (Neftenbach)","Zürich","ZH","Schweiz","CH"
8413,"Neftenbach","Zürich","ZH","Schweiz","CH"
8414,"Buch am Irchel","Zürich","ZH","Schweiz","CH"
8415,"Berg am Irchel","Zürich","ZH","Schweiz","CH"
8415,"Gräslikon","Zürich","ZH","Schweiz","CH"
8416,"Flaach","Zürich","ZH","Schweiz","CH"
8418,"Schlatt b. Winterthur","Zürich","ZH","Schweiz","CH"
8421,"Dättlikon","Zürich","ZH","Schweiz","CH"
8422,"Pfungen","Zürich","ZH","Schweiz","CH"
8424,"Embrach","Zürich","ZH","Schweiz","CH"
8425,"Oberembrach","Zürich","ZH","Schweiz","CH"
8426,"Lufingen","Zürich","ZH","Schweiz","CH"
8427,"Freienstein","Zürich","ZH","Schweiz","CH"
8427,"Rorbas","Zürich","ZH","Schweiz","CH"
8428,"Teufen ZH","Zürich","ZH","Schweiz","CH"
8442,"Hettlingen","Zürich","ZH","Schweiz","CH"
8444,"Henggart","Zürich","ZH","Schweiz","CH"
8447,"Dachsen","Zürich","ZH","Schweiz","CH"
8450,"Andelfingen","Zürich","ZH","Schweiz","CH"
8451,"Kleinandelfingen","Zürich","ZH","Schweiz","CH"
8452,"Adlikon b. Andelfingen","Zürich","ZH","Schweiz","CH"
8453,"Alten","Zürich","ZH","Schweiz","CH"
8454,"Buchberg","Schaffhausen","SH","Schweiz","CH"
8455,"Rüdlingen","Schaffhausen","SH","Schweiz","CH"
8457,"Humlikon","Zürich","ZH","Schweiz","CH"
8458,"Dorf","Zürich","ZH","Schweiz","CH"
8459,"Volken","Zürich","ZH","Schweiz","CH"
8460,"Marthalen","Zürich","ZH","Schweiz","CH"
8461,"Oerlingen","Zürich","ZH","Schweiz","CH"
8462,"Rheinau","Zürich","ZH","Schweiz","CH"
8463,"Benken ZH","Zürich","ZH","Schweiz","CH"
8464,"Ellikon am Rhein","Zürich","ZH","Schweiz","CH"
8465,"Rudolfingen","Zürich","ZH","Schweiz","CH"
8465,"Wildensbuch","Zürich","ZH","Schweiz","CH"
8466,"Trüllikon","Zürich","ZH","Schweiz","CH"
8467,"Truttikon","Zürich","ZH","Schweiz","CH"
8468,"Waltalingen","Zürich","ZH","Schweiz","CH"
8468,"Guntalingen","Zürich","ZH","Schweiz","CH"
8471,"Rutschwil (Dägerlen)","Zürich","ZH","Schweiz","CH"
8471,"Dägerlen","Zürich","ZH","Schweiz","CH"
8471,"Oberwil (Dägerlen)","Zürich","ZH","Schweiz","CH"
8471,"Berg (Dägerlen)","Zürich","ZH","Schweiz","CH"
8471,"Bänk (Dägerlen)","Zürich","ZH","Schweiz","CH"
8472,"Seuzach","Zürich","ZH","Schweiz","CH"
8474,"Dinhard","Zürich","ZH","Schweiz","CH"
8475,"Ossingen","Zürich","ZH","Schweiz","CH"
8476,"Unterstammheim","Zürich","ZH","Schweiz","CH"
8477,"Oberstammheim","Zürich","ZH","Schweiz","CH"
8478,"Thalheim an der Thur","Zürich","ZH","Schweiz","CH"
8479,"Altikon","Zürich","ZH","Schweiz","CH"
8482,"Sennhof (Winterthur)","Zürich","ZH","Schweiz","CH"
8483,"Kollbrunn","Zürich","ZH","Schweiz","CH"
8484,"Neschwil","Zürich","ZH","Schweiz","CH"
8484,"Theilingen","Zürich","ZH","Schweiz","CH"
8484,"Weisslingen","Zürich","ZH","Schweiz","CH"
8486,"Rikon im Tösstal","Zürich","ZH","Schweiz","CH"
8487,"Rämismühle","Zürich","ZH","Schweiz","CH"
8487,"Zell ZH","Zürich","ZH","Schweiz","CH"
8488,"Turbenthal","Zürich","ZH","Schweiz","CH"
8489,"Wildberg","Zürich","ZH","Schweiz","CH"
8492,"Wila","Zürich","ZH","Schweiz","CH"
8493,"Saland","Zürich","ZH","Schweiz","CH"
8494,"Bauma","Zürich","ZH","Schweiz","CH"
8495,"Schmidrüti","Zürich","ZH","Schweiz","CH"
8496,"Steg im Tösstal","Zürich","ZH","Schweiz","CH"
8497,"Fischenthal","Zürich","ZH","Schweiz","CH"
8498,"Gibswil-Ried","Zürich","ZH","Schweiz","CH"
8499,"Sternenberg","Zürich","ZH","Schweiz","CH"
8500,"Frauenfeld","Thurgau","TG","Schweiz","CH"
8500,"Gerlikon","Thurgau","TG","Schweiz","CH"
8505,"Dettighofen","Thurgau","TG","Schweiz","CH"
8505,"Pfyn","Thurgau","TG","Schweiz","CH"
8506,"Lanzenneunforn","Thurgau","TG","Schweiz","CH"
8507,"Hörhausen","Thurgau","TG","Schweiz","CH"
8508,"Homburg","Thurgau","TG","Schweiz","CH"
8512,"Lustdorf","Thurgau","TG","Schweiz","CH"
8512,"Wetzikon TG","Thurgau","TG","Schweiz","CH"
8512,"Thundorf","Thurgau","TG","Schweiz","CH"
8514,"Amlikon-Bissegg","Thurgau","TG","Schweiz","CH"
8522,"Häuslenen","Thurgau","TG","Schweiz","CH"
8522,"Aawangen","Thurgau","TG","Schweiz","CH"
8523,"Hagenbuch ZH","Zürich","ZH","Schweiz","CH"
8524,"Buch b. Frauenfeld","Thurgau","TG","Schweiz","CH"
8524,"Uesslingen","Thurgau","TG","Schweiz","CH"
8525,"Niederneunforn","Thurgau","TG","Schweiz","CH"
8525,"Wilen b. Neunforn","Thurgau","TG","Schweiz","CH"
8526,"Oberneunforn","Thurgau","TG","Schweiz","CH"
8532,"Weiningen TG","Thurgau","TG","Schweiz","CH"
8532,"Warth","Thurgau","TG","Schweiz","CH"
8535,"Herdern","Thurgau","TG","Schweiz","CH"
8536,"Hüttwilen","Thurgau","TG","Schweiz","CH"
8537,"Nussbaumen TG","Thurgau","TG","Schweiz","CH"
8537,"Uerschhausen","Thurgau","TG","Schweiz","CH"
8542,"Wiesendangen","Zürich","ZH","Schweiz","CH"
8543,"Bertschikon","Zürich","ZH","Schweiz","CH"
8543,"Gundetswil","Zürich","ZH","Schweiz","CH"
8543,"Kefikon ZH","Zürich","ZH","Schweiz","CH"
8544,"Attikon","Zürich","ZH","Schweiz","CH"
8545,"Rickenbach ZH","Zürich","ZH","Schweiz","CH"
8545,"Rickenbach Sulz","Zürich","ZH","Schweiz","CH"
8546,"Kefikon TG","Thurgau","TG","Schweiz","CH"
8546,"Islikon","Thurgau","TG","Schweiz","CH"
8546,"Menzengrüt","Zürich","ZH","Schweiz","CH"
8547,"Gachnang","Thurgau","TG","Schweiz","CH"
8548,"Ellikon an der Thur","Zürich","ZH","Schweiz","CH"
8552,"Felben-Wellhausen","Thurgau","TG","Schweiz","CH"
8553,"Eschikofen","Thurgau","TG","Schweiz","CH"
8553,"Harenwilen","Thurgau","TG","Schweiz","CH"
8553,"Mettendorf TG","Thurgau","TG","Schweiz","CH"
8553,"Hüttlingen","Thurgau","TG","Schweiz","CH"
8554,"Müllheim-Wigoltingen","Thurgau","TG","Schweiz","CH"
8554,"Bonau","Thurgau","TG","Schweiz","CH"
8555,"Müllheim Dorf","Thurgau","TG","Schweiz","CH"
8556,"Engwang","Thurgau","TG","Schweiz","CH"
8556,"Illhart","Thurgau","TG","Schweiz","CH"
8556,"Lamperswil TG","Thurgau","TG","Schweiz","CH"
8556,"Wigoltingen","Thurgau","TG","Schweiz","CH"
8558,"Raperswilen","Thurgau","TG","Schweiz","CH"
8560,"Märstetten","Thurgau","TG","Schweiz","CH"
8561,"Ottoberg","Thurgau","TG","Schweiz","CH"
8564,"Lipperswil","Thurgau","TG","Schweiz","CH"
8564,"Engwilen","Thurgau","TG","Schweiz","CH"
8564,"Wäldi","Thurgau","TG","Schweiz","CH"
8564,"Sonterswil","Thurgau","TG","Schweiz","CH"
8564,"Wagerswil","Thurgau","TG","Schweiz","CH"
8564,"Hattenhausen","Thurgau","TG","Schweiz","CH"
8564,"Gunterswilen","Thurgau","TG","Schweiz","CH"
8564,"Hefenhausen","Thurgau","TG","Schweiz","CH"
8565,"Hugelshofen","Thurgau","TG","Schweiz","CH"
8566,"Dotnacht","Thurgau","TG","Schweiz","CH"
8566,"Neuwilen","Thurgau","TG","Schweiz","CH"
8566,"Ellighausen","Thurgau","TG","Schweiz","CH"
8566,"Lippoldswilen","Thurgau","TG","Schweiz","CH"
8570,"Weinfelden","Thurgau","TG","Schweiz","CH"
8572,"Andhausen","Thurgau","TG","Schweiz","CH"
8572,"Graltshausen","Thurgau","TG","Schweiz","CH"
8572,"Guntershausen b. Berg","Thurgau","TG","Schweiz","CH"
8572,"Berg TG","Thurgau","TG","Schweiz","CH"
8573,"Alterswilen","Thurgau","TG","Schweiz","CH"
8573,"Altishausen","Thurgau","TG","Schweiz","CH"
8573,"Siegershausen","Thurgau","TG","Schweiz","CH"
8574,"Illighausen","Thurgau","TG","Schweiz","CH"
8574,"Lengwil-Oberhofen","Thurgau","TG","Schweiz","CH"
8575,"Istighofen","Thurgau","TG","Schweiz","CH"
8575,"Bürglen TG","Thurgau","TG","Schweiz","CH"
8576,"Mauren TG","Thurgau","TG","Schweiz","CH"
8577,"Toos","Thurgau","TG","Schweiz","CH"
8577,"Schönholzerswilen","Thurgau","TG","Schweiz","CH"
8580,"Sommeri","Thurgau","TG","Schweiz","CH"
8580,"Hagenwil b. Amriswil","Thurgau","TG","Schweiz","CH"
8580,"Hefenhofen","Thurgau","TG","Schweiz","CH"
8580,"Amriswil","Thurgau","TG","Schweiz","CH"
8581,"Schocherswil","Thurgau","TG","Schweiz","CH"
8582,"Dozwil","Thurgau","TG","Schweiz","CH"
8583,"Götighofen","Thurgau","TG","Schweiz","CH"
8583,"Donzhausen","Thurgau","TG","Schweiz","CH"
8583,"Sulgen","Thurgau","TG","Schweiz","CH"
8584,"Leimbach TG","Thurgau","TG","Schweiz","CH"
8584,"Opfershofen TG","Thurgau","TG","Schweiz","CH"
8585,"Happerswil","Thurgau","TG","Schweiz","CH"
8585,"Eggethof","Thurgau","TG","Schweiz","CH"
8585,"Zuben","Thurgau","TG","Schweiz","CH"
8585,"Schönenbaumgarten","Thurgau","TG","Schweiz","CH"
8585,"Herrenhof","Thurgau","TG","Schweiz","CH"
8585,"Birwinken","Thurgau","TG","Schweiz","CH"
8585,"Klarsreuti","Thurgau","TG","Schweiz","CH"
8585,"Mattwil","Thurgau","TG","Schweiz","CH"
8585,"Langrickenbach","Thurgau","TG","Schweiz","CH"
8586,"Andwil TG","Thurgau","TG","Schweiz","CH"
8586,"Kümmertshausen","Thurgau","TG","Schweiz","CH"
8586,"Riedt b. Erlen","Thurgau","TG","Schweiz","CH"
8586,"Buchackern","Thurgau","TG","Schweiz","CH"
8586,"Engishofen","Thurgau","TG","Schweiz","CH"
8586,"Ennetaach","Thurgau","TG","Schweiz","CH"
8586,"Buch b. Kümmertshausen","Thurgau","TG","Schweiz","CH"
8586,"Erlen","Thurgau","TG","Schweiz","CH"
8587,"Oberaach","Thurgau","TG","Schweiz","CH"
8588,"Zihlschlacht","Thurgau","TG","Schweiz","CH"
8589,"Sitterdorf","Thurgau","TG","Schweiz","CH"
8590,"Romanshorn","Thurgau","TG","Schweiz","CH"
8592,"Uttwil","Thurgau","TG","Schweiz","CH"
8593,"Kesswil","Thurgau","TG","Schweiz","CH"
8594,"Güttingen","Thurgau","TG","Schweiz","CH"
8595,"Altnau","Thurgau","TG","Schweiz","CH"
8596,"Münsterlingen","Thurgau","TG","Schweiz","CH"
8596,"Scherzingen","Thurgau","TG","Schweiz","CH"
8597,"Landschlacht","Thurgau","TG","Schweiz","CH"
8598,"Bottighofen","Thurgau","TG","Schweiz","CH"
8599,"Salmsach","Thurgau","TG","Schweiz","CH"
8600,"Dübendorf","Zürich","ZH","Schweiz","CH"
8602,"Wangen b. Dübendorf","Zürich","ZH","Schweiz","CH"
8603,"Schwerzenbach","Zürich","ZH","Schweiz","CH"
8604,"Volketswil","Zürich","ZH","Schweiz","CH"
8605,"Gutenswil","Zürich","ZH","Schweiz","CH"
8606,"Nänikon","Zürich","ZH","Schweiz","CH"
8606,"Greifensee","Zürich","ZH","Schweiz","CH"
8607,"Aathal-Seegräben","Zürich","ZH","Schweiz","CH"
8608,"Bubikon","Zürich","ZH","Schweiz","CH"
8610,"Uster","Zürich","ZH","Schweiz","CH"
8614,"Sulzbach","Zürich","ZH","Schweiz","CH"
8614,"Bertschikon (Gossau ZH)","Zürich","ZH","Schweiz","CH"
8615,"Wermatswil","Zürich","ZH","Schweiz","CH"
8615,"Freudwil","Zürich","ZH","Schweiz","CH"
8616,"Riedikon","Zürich","ZH","Schweiz","CH"
8617,"Mönchaltorf","Zürich","ZH","Schweiz","CH"
8618,"Oetwil am See","Zürich","ZH","Schweiz","CH"
8620,"Wetzikon ZH","Zürich","ZH","Schweiz","CH"
8623,"Wetzikon ZH","Zürich","ZH","Schweiz","CH"
8624,"Grüt (Gossau ZH)","Zürich","ZH","Schweiz","CH"
8625,"Gossau ZH","Zürich","ZH","Schweiz","CH"
8626,"Ottikon (Gossau ZH)","Zürich","ZH","Schweiz","CH"
8627,"Grüningen","Zürich","ZH","Schweiz","CH"
8630,"Rüti ZH","Zürich","ZH","Schweiz","CH"
8632,"Tann","Zürich","ZH","Schweiz","CH"
8633,"Wolfhausen","Zürich","ZH","Schweiz","CH"
8634,"Hombrechtikon","Zürich","ZH","Schweiz","CH"
8635,"Dürnten","Zürich","ZH","Schweiz","CH"
8636,"Wald ZH","Zürich","ZH","Schweiz","CH"
8637,"Laupen ZH","Zürich","ZH","Schweiz","CH"
8638,"Goldingen","St. Gallen","SG","Schweiz","CH"
8639,"Faltigberg","Zürich","ZH","Schweiz","CH"
8640,"Rapperswil SG","St. Gallen","SG","Schweiz","CH"
8640,"Hurden","Schwyz","SZ","Schweiz","CH"
8645,"Jona","St. Gallen","SG","Schweiz","CH"
8646,"Wagen","St. Gallen","SG","Schweiz","CH"
8700,"Küsnacht ZH","Zürich","ZH","Schweiz","CH"
8702,"Zollikon","Zürich","ZH","Schweiz","CH"
8703,"Erlenbach ZH","Zürich","ZH","Schweiz","CH"
8704,"Herrliberg","Zürich","ZH","Schweiz","CH"
8706,"Meilen","Zürich","ZH","Schweiz","CH"
8707,"Uetikon am See","Zürich","ZH","Schweiz","CH"
8708,"Männedorf","Zürich","ZH","Schweiz","CH"
8712,"Stäfa","Zürich","ZH","Schweiz","CH"
8713,"Uerikon","Zürich","ZH","Schweiz","CH"
8714,"Feldbach","Zürich","ZH","Schweiz","CH"
8715,"Bollingen","St. Gallen","SG","Schweiz","CH"
8716,"Schmerikon","St. Gallen","SG","Schweiz","CH"
8717,"Benken SG","St. Gallen","SG","Schweiz","CH"
8718,"Schänis","St. Gallen","SG","Schweiz","CH"
8722,"Kaltbrunn","St. Gallen","SG","Schweiz","CH"
8723,"Rufi","St. Gallen","SG","Schweiz","CH"
8725,"Gebertingen","St. Gallen","SG","Schweiz","CH"
8725,"Ernetschwil","St. Gallen","SG","Schweiz","CH"
8726,"Ricken SG","St. Gallen","SG","Schweiz","CH"
8727,"Walde SG","St. Gallen","SG","Schweiz","CH"
8730,"Uznach","St. Gallen","SG","Schweiz","CH"
8732,"Neuhaus SG","St. Gallen","SG","Schweiz","CH"
8733,"Eschenbach SG","St. Gallen","SG","Schweiz","CH"
8734,"Ermenswil","St. Gallen","SG","Schweiz","CH"
